region_subregion_country_area,country_code,1950-1955,1955-1960,1960-1965,1965-1970,1970-1975,1975-1980,1980-1985,1985-1990,1990-1995,1995-2000,2000-2005,2005-2010,2010-2015
WORLD,900,1.78,1.80,1.93,2.05,1.95,1.78,1.78,1.79,1.52,1.32,1.25,1.23,1.19
Sub-Saharan Africa,947,1.99,2.20,2.39,2.53,2.66,2.80,2.83,2.80,2.71,2.66,2.67,2.74,2.74
AFRICA,903,2.10,2.31,2.46,2.56,2.63,2.77,2.82,2.76,2.61,2.46,2.46,2.53,2.59
Eastern Africa,910,2.22,2.42,2.63,2.78,2.85,2.96,2.97,2.98,2.58,2.89,2.82,2.87,2.82
Burundi,108,1.84,1.92,1.99,2.32,1.21,2.29,2.66,2.83,1.92,1.42,2.96,3.33,3.03
Comoros,174,1.96,1.66,1.64,2.07,2.24,3.59,2.87,2.94,2.88,2.64,2.40,2.40,2.40
Djibouti,262,2.31,3.68,6.36,6.57,6.79,9.42,3.41,6.55,1.31,2.59,1.75,1.66,1.72
Eritrea,232,1.79,2.24,2.57,2.62,2.72,2.78,2.87,2.46,-0.15,1.87,3.14,2.02,1.98
Ethiopia,231,1.91,2.10,2.43,2.55,2.73,1.59,2.92,3.29,3.51,2.99,2.85,2.67,2.60
Kenya,404,2.77,2.99,3.19,3.38,3.62,3.75,3.78,3.49,3.12,2.80,2.73,2.74,2.66
Madagascar,450,2.14,2.31,2.47,2.62,2.78,2.86,2.87,2.84,3.00,3.14,3.02,2.86,2.72
Malawi,454,1.93,2.13,2.30,2.52,2.79,3.05,3.14,5.38,0.98,2.76,2.73,3.02,2.95
Mauritius,480,2.92,2.91,2.64,1.85,1.53,1.59,1.00,0.77,1.33,0.98,0.61,0.42,0.18
Mayotte,175,4.52,4.71,4.79,3.83,4.15,3.85,5.37,5.47,5.24,3.98,3.39,3.17,2.79
Mozambique,508,1.71,1.95,2.09,2.21,2.43,2.72,1.83,0.40,3.47,2.73,2.94,2.93,2.91
Réunion,638,3.23,2.81,3.04,3.35,0.96,0.99,1.85,1.78,1.96,1.79,1.44,0.96,0.78
Rwanda,646,2.89,2.99,1.94,2.99,2.99,3.30,3.49,3.35,-3.99,6.06,2.27,2.61,2.53
Seychelles,690,1.37,1.31,2.37,2.26,2.59,2.13,1.04,0.22,1.65,1.13,1.79,0.59,0.50
Somalia,706,1.91,2.02,2.15,2.31,2.38,9.88,1.32,1.71,0.82,3.13,2.89,2.93,2.86
South Sudan,728,1.05,1.65,1.99,2.23,2.43,2.66,2.94,1.13,-1.10,4.10,3.82,4.33,3.32
Uganda,800,2.68,2.81,3.32,3.29,2.73,2.95,3.09,3.49,3.28,3.14,3.44,3.45,3.37
United Republic of Tanzania,834,2.67,2.84,2.96,3.05,3.22,3.13,3.12,3.07,3.26,2.63,2.85,3.14,3.12
Zambia,894,2.63,2.90,3.15,3.16,3.47,3.42,3.33,2.87,2.59,2.84,2.70,2.78,3.01
Zimbabwe,716,3.07,3.15,3.26,3.20,3.34,3.17,3.79,3.24,2.12,1.53,1.14,1.70,2.27
Middle Africa,911,1.96,2.12,2.29,2.46,2.56,2.75,2.81,2.91,3.32,2.65,3.05,3.20,3.15
Angola,24,2.35,1.96,1.89,1.77,2.51,3.01,3.45,2.75,3.18,2.83,3.47,3.57,3.52
Cameroon,120,1.76,1.91,2.20,2.44,2.66,2.89,3.07,3.07,2.78,2.53,2.63,2.73,2.68
Central African Republic,140,1.07,1.43,1.85,2.07,1.96,2.45,2.89,2.20,2.63,2.27,1.89,1.50,0.43
