region_subregion_country_area,country_code,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
WORLD,900,99.7,99.8,100.0,100.3,100.5,100.7,100.9,101.0,101.2,101.3,101.3,101.5,101.7,101.8
Sub-Saharan Africa,947,98.0,98.0,98.1,98.2,98.4,98.6,98.9,98.9,98.8,98.7,98.9,99.0,99.2,99.4
AFRICA,903,98.7,98.7,98.8,98.9,99.0,99.2,99.4,99.4,99.4,99.3,99.3,99.4,99.5,99.7
Eastern Africa,910,98.3,98.2,98.2,98.2,98.2,98.3,98.5,98.5,98.2,98.0,98.0,98.1,98.2,98.4
Burundi,108,91.9,92.6,93.3,94.0,94.5,94.2,94.1,94.2,95.4,94.8,96.3,96.8,96.5,96.7
Comoros,174,98.8,98.9,99.0,99.2,99.4,99.6,99.8,100.2,100.6,100.9,101.2,101.5,101.6,101.7
Djibouti,262,98.6,98.7,98.8,99.0,99.1,99.3,101.8,101.6,101.2,101.3,101.1,101.0,100.9,100.8
Eritrea,232,98.2,98.4,98.8,99.1,99.4,99.5,99.6,99.8,100.0,99.9,100.0,100.1,100.2,100.4
Ethiopia,231,98.6,98.7,98.8,98.9,99.0,99.2,99.1,99.1,99.5,99.4,99.4,99.5,99.6,99.7
Kenya,404,101.7,101.1,100.6,100.0,99.5,99.3,99.2,99.2,99.1,98.9,98.7,98.7,98.8,98.8
Madagascar,450,105.9,104.5,103.4,102.5,101.8,101.1,100.6,100.1,99.7,99.4,99.2,99.2,99.3,99.4
Malawi,454,92.3,93.2,93.8,94.2,94.7,95.2,96.0,96.6,96.6,97.5,97.3,97.5,97.8,98.1
Mauritius,480,99.2,99.2,99.5,100.0,100.1,97.4,97.3,98.5,99.5,99.4,98.4,98.3,98.3,98.1
Mayotte,175,119.7,116.9,115.3,113.6,110.5,108.0,106.1,106.5,104.6,103.2,102.4,97.2,95.6,96.5
Mozambique,508,95.6,95.5,95.6,95.6,95.7,95.9,95.7,95.1,91.4,91.2,92.2,93.4,94.4,95.2
Réunion,638,92.1,93.7,94.6,94.9,93.0,94.2,95.4,95.4,95.7,95.5,95.3,96.4,93.9,93.9
Rwanda,646,96.6,96.4,96.4,96.2,96.4,96.5,96.7,97.0,97.1,94.2,95.2,95.6,95.9,96.2
Seychelles,690,90.5,93.4,95.9,97.8,100.4,102.5,101.9,101.9,99.5,100.2,99.3,99.9,106.5,98.3
Somalia,706,98.6,98.2,97.9,97.8,97.8,97.8,104.1,102.4,101.2,100.8,100.5,100.2,99.7,99.3
South Sudan,728,104.1,102.2,100.9,100.1,99.5,99.1,98.9,98.8,98.8,99.0,99.2,99.6,99.9,100.3
Uganda,800,99.5,99.0,98.8,98.8,98.8,98.9,99.0,99.0,98.6,98.0,97.8,98.1,98.6,98.9
United Republic of Tanzania,834,95.2,95.6,96.0,96.4,96.8,97.1,97.5,97.8,97.9,97.9,98.0,97.4,97.4,97.7
Zambia,894,99.1,98.8,98.7,98.7,98.8,98.7,98.8,98.6,98.3,97.9,97.8,98.1,98.3,98.5
Zimbabwe,716,99.4,99.4,99.4,99.4,99.3,99.2,98.5,98.7,98.5,97.5,96.6,95.3,94.9,94.8
Middle Africa,911,92.3,93.1,93.8,94.5,95.2,95.9,96.5,97.0,97.4,97.8,98.2,98.5,98.9,99.2
Angola,24,94.2,94.4,94.6,94.7,95.0,95.3,95.6,95.6,95.7,95.5,95.6,95.6,95.8,96.1
Cameroon,120,96.1,96.4,96.7,97.0,97.4,97.7,98.0,98.4,98.7,99.0,99.4,99.7,100.0,100.1
Central African Republic,140,97.2,96.9,96.8,96.7,96.6,96.6,96.6,96.6,96.5,96.6,96.9,97.2,97.4,97.3
Chad,148,97.5,96.1,95.6,95.6,96.1,96.7,97.4,98.0,98.6,98.9,99.2,99.7,100.0,100.2
Congo,178,97.7,98.2,98.5,98.7,98.8,99.1,99.3,99.4,99.5,99.5,99.7,99.9,100.1,100.1
Democratic Republic of the Congo,180,88.1,89.9,91.4,92.8,94.0,95.1,96.0,96.8,97.4,98.0,98.4,98.8,99.1,99.5
Equatorial Guinea,226,96.7,96.3,96.0,97.0,98.5,98.2,98.0,98.2,98.2,102.2,107.4,112.6,118.8,123.0
Gabon,266,95.2,95.2,95.3,94.2,91.9,92.9,94.0,95.0,96.0,96.9,98.4,100.3,104.2,105.7
