country,code,country_code,continent,capital,latitude,longitude
Afghanistan,AFG,4,Asia,Kabul,34.28,69.2
Albania,ALB,8,Europe,Tirana,41.18,19.49
Algeria,DZA,12,Africa,Algiers,36.42,3.08
American Samoa,ASM,16,Oceania/Australia,Pago Pago,-14.16,-170.43
Andorra,AND,20,Europe,Andorra la Vella,42.31,1.32
Angola,AGO,24,Africa,Luanda,-8.5,13.15
Anguilla,AIA,660,North America,The Valley ,18.22,-63.06
Antigua and Barbuda,ATG,28,North America,West Indies,17.2,-61.48
Argentina,ARG,32,South America,Buenos Aires,-36.3,-60
Armenia,ARM,51,Asia,Yerevan,40.1,44.31
Aruba,ABW,533,North America,Oranjestad,12.32,-70.02
Australia,AUS,36,Oceania/Australia,Canberra,-35.15,149.08
Austria,AUT,40,Europe,Vienna,48.12,16.22
Azerbaijan,AZE,31,Asia,Baku,40.29,49.56
Bahamas,BHS,44,North America,Nassau,25.05,-77.02
Bahrain,BHR,48,Asia,Manama,26.1,50.3
Bangladesh,BGD,50,Asia,Dhaka,23.43,90.26
Barbados,BRB,52,North America,Bridgetown,13.05,-59.3
Belarus,BLR,112,Europe,Minsk,53.52,27.3
Belgium,BEL,56,Europe,Brussels,50.51,4.21
Belize,BLZ,84,North America,Belmopan,17.18,-88.3
Benin,BEN,204,Africa,Porto-Novo,6.23,2.42
Bermuda,BMU,60,North America,Hamilton,32.3,-64.75
Bhutan,BTN,64,Asia,Thimphu,27.31,89.45
Bolivia (Plurinational State of),BOL,68,South America,Sucre,-16.2,-68.1
Bosnia and Herzegovina,BIH,70,Europe,Sarajevo,43.52,18.26
Botswana,BWA,72,Africa,Gaborone,-24.45,25.57
Brazil,BRA,76,South America,Brasilia,-15.47,-47.55
British Virgin Islands,VGB,92,North America,Road Town,18.27,-64.37
Brunei Darussalam,BRN,96,Asia,Bandar Seri Begawan,4.52,115
Bulgaria,BGR,100,Europe,Sofia,42.45,23.2
Burkina Faso,BFA,854,Africa,Ouagadougou,12.5,-1.3
Burundi,BDI,108,Africa,Bujumbura,-3.16,29.18
Cabo Verde,CPV,132,Africa,Praia,15.2,-23.34
Cambodia,KHM,116,Asia,Phnom Penh,11.33,104.55
Cameroon,CMR,120,Africa,Yaounde,3.5,11.35
Canada,CAN,124,North America,Ottawa,45.27,-75.42
Caribbean,,915,North America,Santo Domingo,18.48,-69.93
Caribbean Netherlands,BES,535,South America,Kralendijk,12.2,-68.26
Cayman Islands,CYM,136,North America,George Town,19.2,-81.24
Central African Republic,CAF,140,Africa,Bangui,4.23,18.35
Chad,TCD,148,Africa,N'Djamena,12.1,14.59
Channel Islands,CHI,830,Europe,Saint Peter Port,49.45,-2.54
